iter	Passed	Remaining
0	0	50
1	0	45
2	1	43
3	1	41
4	2	41
5	2	40
6	3	39
7	3	39
8	3	38
9	4	38
10	4	38
11	5	38
12	5	39
13	6	39
14	6	38
15	7	38
16	7	38
17	8	37
18	8	36
19	9	36
20	9	35
21	9	35
22	10	35
23	10	34
24	11	34
25	11	33
26	12	33
27	12	32
28	13	32
29	13	31
30	14	31
31	14	30
32	14	30
33	15	29
34	15	29
35	16	28
36	16	28
37	17	27
38	17	27
39	18	27
40	18	26
41	18	26
42	19	25
43	19	25
44	20	24
45	20	24
46	21	23
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	23	21
53	24	20
54	24	20
55	25	19
56	25	19
57	25	18
58	26	18
59	26	17
60	27	17
61	27	17
62	28	16
63	28	16
64	29	15
65	29	15
66	30	14
67	30	14
68	30	13
69	31	13
70	31	12
71	32	12
72	32	12
73	33	11
74	33	11
75	33	10
76	34	10
77	34	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	37	6
85	38	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	40	3
92	41	3
93	41	2
94	42	2
95	42	1
96	43	1
97	43	0
98	44	0
99	44	0
