iter	Passed	Remaining
0	138	138590
1	139	69716
2	140	46600
3	140	35068
4	141	28127
5	141	23496
6	142	20184
7	142	17705
8	143	15763
9	143	14234
10	144	12973
11	144	11920
12	145	11034
13	145	10274
14	146	9614
15	146	9034
16	147	8521
17	147	8068
18	148	7670
19	148	7299
20	149	6969
21	149	6666
22	150	6389
23	150	6137
24	151	5904
25	152	5704
26	152	5508
27	153	5327
28	154	5156
29	154	4993
30	154	4843
31	155	4704
32	156	4575
33	156	4451
34	157	4331
35	157	4224
36	158	4120
37	158	4021
38	159	3927
39	159	3836
40	160	3751
41	160	3670
42	161	3591
43	161	3516
44	162	3448
45	163	3381
46	163	3314
47	163	3251
48	164	3190
49	164	3130
50	165	3076
51	165	3021
52	166	2969
53	166	2923
54	167	2875
55	167	2830
56	168	2786
57	168	2744
58	169	2701
59	169	2660
60	170	2621
61	170	2583
62	171	2548
63	171	2511
64	172	2478
65	172	2444
66	173	2412
67	173	2380
68	174	2349
69	174	2318
70	175	2289
71	175	2261
72	176	2235
73	176	2208
74	176	2182
75	177	2157
76	177	2132
77	178	2109
78	178	2085
79	179	2061
80	179	2039
81	180	2017
82	180	1993
83	181	1974
84	181	1955
85	182	1936
86	182	1916
87	183	1898
88	183	1880
89	184	1862
90	184	1846
91	185	1830
92	185	1813
93	186	1796
94	186	1780
95	187	1765
96	188	1750
97	188	1735
98	189	1721
99	189	1707
100	190	1693
101	190	1679
102	191	1666
103	191	1652
104	192	1639
105	192	1626
106	193	1613
107	193	1601
108	194	1588
109	194	1576
110	195	1565
111	196	1554
112	196	1542
113	197	1531
114	197	1520
115	198	1509
116	198	1498
117	199	1488
118	199	1478
119	200	1468
120	200	1457
121	201	1447
122	201	1437
123	202	1428
124	202	1419
125	203	1410
126	203	1401
127	204	1392
128	204	1383
129	205	1375
130	206	1366
131	206	1359
132	207	1351
133	207	1344
134	208	1336
135	209	1328
136	209	1321
137	210	1314
138	210	1306
139	211	1298
140	212	1291
141	212	1283
142	212	1276
143	213	1269
144	214	1262
145	214	1254
146	215	1247
147	215	1241
148	216	1234
149	216	1228
150	217	1221
151	217	1215
152	218	1208
153	218	1201
154	219	1194
155	219	1188
156	220	1182
157	220	1176
158	221	1170
159	221	1165
160	222	1158
161	222	1152
162	223	1146
163	223	1141
164	224	1136
165	225	1130
166	225	1125
167	225	1119
168	226	1113
